Date,Open,High,Low,Close,Adj Close,Volume
2020-01-13,2.390000,2.414000,2.300000,2.367000,2.367000,58300
2020-01-14,2.330000,2.370000,2.320000,2.362000,2.362000,10500
2020-01-15,2.370000,2.370000,2.260000,2.260000,2.260000,15100
2020-01-16,2.280000,2.340000,2.280000,2.290000,2.290000,13600
2020-01-17,2.300000,2.340000,2.285000,2.289000,2.289000,23200
2020-01-21,2.350000,2.720000,2.350000,2.566000,2.566000,92300
2020-01-22,2.550000,2.578000,2.500000,2.540000,2.540000,15100
2020-01-23,2.600000,2.700000,2.516000,2.700000,2.700000,65700
2020-01-24,2.700000,2.700000,2.510000,2.550000,2.550000,36400
2020-01-27,2.620000,2.620000,2.290000,2.340000,2.340000,30200
2020-01-28,2.476000,2.476000,2.340000,2.420000,2.420000,11200
2020-01-29,2.420000,2.472000,2.300000,2.310000,2.310000,16700
2020-01-30,2.360000,2.450000,2.285000,2.300000,2.300000,14600
2020-01-31,2.300000,2.400000,2.240000,2.240000,2.240000,24400
2020-02-03,2.410000,2.410000,2.210000,2.220000,2.220000,38500
2020-02-04,2.240000,2.240000,1.830000,1.910000,1.910000,100000
2020-02-05,1.550000,1.570000,1.470000,1.500000,1.500000,1188600
2020-02-06,1.590000,1.590000,1.470000,1.470000,1.470000,210900
2020-02-07,1.470000,1.500000,1.400000,1.400000,1.400000,75800
2020-02-10,1.450000,1.450000,1.310000,1.330000,1.330000,113000
2020-02-11,1.360000,1.380000,1.230000,1.260000,1.260000,225100
2020-02-12,1.300000,1.360000,1.250000,1.270000,1.270000,99200
2020-02-13,1.320000,1.320000,1.240000,1.298000,1.298000,36800
2020-02-14,1.300000,1.320000,1.260000,1.320000,1.320000,60200
2020-02-18,1.400000,1.420000,1.330000,1.360000,1.360000,44500
2020-02-19,1.340000,1.390000,1.290000,1.360000,1.360000,94300
2020-02-20,1.280000,1.410000,1.260000,1.410000,1.410000,92800
2020-02-21,1.360000,1.400000,1.340000,1.350000,1.350000,19900
2020-02-24,1.290000,1.310000,1.260000,1.280000,1.280000,98400
2020-02-25,1.260000,1.290000,1.260000,1.270000,1.270000,71800
2020-02-26,1.280000,1.336000,1.270000,1.275000,1.275000,43900
2020-02-27,1.270000,1.300000,1.270000,1.295000,1.295000,69100
2020-02-28,1.300000,1.380000,1.150000,1.330000,1.330000,80900
2020-03-02,1.320000,1.370000,1.180000,1.270000,1.270000,42500
2020-03-03,1.320000,1.320000,1.250000,1.270000,1.270000,17400
2020-03-04,1.370000,1.370000,1.210000,1.280000,1.280000,34800
2020-03-05,1.290000,1.372000,1.250000,1.280000,1.280000,58100
2020-03-06,1.280000,1.300000,1.216000,1.270000,1.270000,30700
2020-03-09,1.130000,1.150000,1.000000,1.080000,1.080000,96500
2020-03-10,1.060000,1.190000,1.020000,1.050000,1.050000,38600
2020-03-11,1.030000,1.080000,1.000000,1.060000,1.060000,26500
2020-03-12,0.880000,1.000000,0.830000,0.880000,0.880000,36900
2020-03-13,0.880000,0.985000,0.880000,0.980000,0.980000,16300
2020-03-16,0.860000,0.860000,0.780000,0.846000,0.846000,46100
2020-03-17,0.790000,0.820000,0.750000,0.800000,0.800000,36800
2020-03-18,0.728000,0.728000,0.650000,0.660000,0.660000,33400
2020-03-19,0.680000,0.800000,0.625000,0.700000,0.700000,106900
2020-03-20,0.710000,0.770000,0.602000,0.746000,0.746000,22100
2020-03-23,0.712000,0.712000,0.650000,0.707000,0.707000,29700
2020-03-24,0.690000,0.740000,0.690000,0.734000,0.734000,22800
2020-03-25,0.740000,0.740000,0.690000,0.740000,0.740000,34500
2020-03-26,0.737000,0.737000,0.690000,0.697000,0.697000,49400
2020-03-27,0.715000,0.895000,0.700000,0.850000,0.850000,249900
